g7958.t1_unclear_homology	s14055.t1	59.052	232	95	0	1	232	1	232	1.47e-101	299	266	346	87
g7958.t1_unclear_homology	s12524.t1	59.052	232	95	0	1	232	1	232	1.47e-101	299	266	346	87
g7958.t1_unclear_homology	s13776.t1	60.870	230	89	1	1	230	1	229	8.09e-101	297	266	353	86
g13362.t1_insect-like	s8154.t1	42.424	33	19	0	138	170	42	74	0.23	32.7	334	326	10
g13362.t1_insect-like	s8154.t2	42.424	33	19	0	138	170	42	74	0.32	32.3	334	303	10
g13362.t1_insect-like	s12517.t1	32.500	40	27	0	189	228	262	301	2.9	29.6	334	770	12
g13362.t1_insect-like	s2187.t1	32.500	40	27	0	189	228	238	277	3.1	29.6	334	746	12
g13362.t1_insect-like	s13878.t1	32.143	56	29	2	63	113	105	156	5.7	28.5	334	295	15
g13362.t1_insect-like	s7286.t1	28.125	64	41	2	249	307	863	926	8.9	28.1	334	1231	18
g13362.t1_insect-like	s7286.t2	28.125	64	41	2	249	307	868	931	9.3	28.1	334	1236	18
g13363.t1_TE-like	s4667.t1	42.888	457	253	4	34	482	2	458	1.53e-123	375	483	684	93
g13363.t1_TE-like	s10780.t1	40.268	149	87	2	12	160	264	410	1.30e-27	114	483	433	31
g13363.t1_TE-like	s3032.t1	24.088	137	91	5	321	456	292	416	0.001	40.8	483	428	28
g13363.t1_TE-like	s5632.t1	28.571	84	56	3	334	415	240	321	0.002	40.4	483	340	17
g13363.t1_TE-like	s9056.t2	24.561	228	119	11	250	462	132	321	0.002	40.0	483	342	44
g13363.t1_TE-like	s9056.t1	25.581	129	67	5	334	462	159	258	0.006	38.1	483	279	27
g13363.t1_TE-like	s2792.t1	22.047	127	87	4	334	459	370	485	0.022	37.0	483	491	26
g13363.t1_TE-like	s13973.t1	25.170	147	89	6	343	481	346	479	0.098	35.0	483	620	29
g13363.t1_TE-like	s9152.t1	38.000	50	30	1	162	211	1426	1474	1.7	31.2	483	1548	10
g13363.t1_TE-like	s9152.t2	38.000	50	30	1	162	211	1221	1269	1.7	31.2	483	1343	10
g13363.t2_TE-like	s4667.t1	42.888	457	253	4	6	454	2	458	9.31e-124	375	455	684	99
g13363.t2_TE-like	s10780.t1	42.969	128	71	2	3	130	283	408	1.27e-26	110	455	433	28
g13363.t2_TE-like	s3032.t1	24.088	137	91	5	293	428	292	416	0.001	40.8	455	428	30
g13363.t2_TE-like	s9056.t2	24.561	228	119	11	222	434	132	321	0.002	40.4	455	342	47
g13363.t2_TE-like	s5632.t1	28.571	84	56	3	306	387	240	321	0.002	40.0	455	340	18
g13363.t2_TE-like	s9056.t1	25.581	129	67	5	306	434	159	258	0.006	38.1	455	279	28
g13363.t2_TE-like	s2792.t1	22.222	126	86	4	306	430	370	484	0.023	36.6	455	491	27
g13363.t2_TE-like	s13973.t1	25.170	147	89	6	315	453	346	479	0.095	35.0	455	620	31
g13363.t2_TE-like	s9152.t1	38.000	50	30	1	134	183	1426	1474	1.6	31.2	455	1548	11
g13363.t2_TE-like	s9152.t2	38.000	50	30	1	134	183	1221	1269	1.7	30.8	455	1343	11
g13694.t1_insect-like	s7.t1	27.731	119	73	3	235	345	340	453	5.59e-04	41.6	391	627	28
g13694.t1_insect-like	s13252.t1	31.481	54	37	0	292	345	231	284	0.004	38.9	391	457	14
g13694.t1_insect-like	s8763.t1	23.750	80	58	2	266	345	310	386	0.29	32.7	391	419	20
g13694.t1_insect-like	s1805.t1	25.000	48	36	0	287	334	328	375	1.7	30.4	391	444	12
g13694.t1_insect-like	s12222.t1	31.034	87	45	5	207	282	61	143	2.5	30.0	391	938	19
g13694.t1_insect-like	s9329.t1	44.444	27	15	0	300	326	228	254	5.7	28.9	391	530	7
g13694.t1_insect-like	s6547.t3	38.235	34	21	0	345	378	1607	1640	6.2	28.9	391	1640	9
g13694.t1_insect-like	s6547.t1	38.235	34	21	0	345	378	1600	1633	6.3	28.9	391	1633	9
g13694.t1_insect-like	s6547.t2	38.235	34	21	0	345	378	1582	1615	6.4	28.9	391	1615	9
g13694.t2_insect-like	s12222.t1	28.155	103	59	5	207	298	61	159	2.9	29.3	303	938	30
g13694.t2_insect-like	s13400.t1	54.545	22	10	0	278	299	1581	1602	9.3	27.7	303	4892	7
g15244.t1_insect-like	s15342.t1	21.622	148	76	5	61	207	441	549	0.56	30.8	216	556	68
g15244.t1_insect-like	s7066.t1	32.075	53	35	1	144	195	438	490	1.9	29.3	216	1402	24
g15244.t1_insect-like	s3830.t1	28.000	50	31	1	76	120	23	72	4.5	28.1	216	550	21
g15244.t1_insect-like	s677.t1	36.170	47	22	2	72	114	1015	1057	5.8	27.7	216	1139	20
g15244.t1_insect-like	s7176.t1	36.585	41	24	1	2	42	2288	2326	7.2	27.3	216	2492	19
g17107.t1_TE-like	s6244.t1	40.212	378	214	5	1	367	1	377	1.37e-70	244	538	1061	68
g17107.t1_TE-like	s2585.t1	35.659	387	213	8	1	356	1	382	2.05e-61	207	538	402	66
g17107.t1_TE-like	s4955.t1	36.190	315	183	6	1	304	1	308	1.11e-58	200	538	417	57
g17107.t1_TE-like	s6618.t1	36.190	315	183	6	1	304	1	308	1.87e-58	199	538	417	57
