Chromosome	TPM	Gene	Species	Sex	Tissue	Stage	Sample	log2_TPM	Z_score	p_value	p_adj	Expression_Status_BH	Expression_Status	Type
SUPER_GRC2	9.716707	g14257	B_coprophila	male	soma_carcass	adult	B8	3.28046761460071	8.65972656808684	0	0	Active	Expressed	Gene
SUPER_GRC2	25.877552	g14637	B_coprophila	male	soma_carcass	adult	B8	4.69362929638809	11.0391955967962	0	0	Active	Expressed	Gene
SUPER_GRC2	15.14652	g17249	B_coprophila	male	soma_carcass	adult	B8	3.92091455443212	9.73810541001313	0	0	Active	Expressed	Gene
SUPER_GRC2	6.230327	g14257	B_coprophila	male	soma_carcass	adult	B9	2.63930811694384	7.5801479276529	1.72084568816899e-14	2.74884270448746e-14	Active	Expressed	Gene
SUPER_GRC2	22.695724	g14637	B_coprophila	male	soma_carcass	adult	B9	4.50434866984298	10.7204865669637	0	0	Active	Expressed	Gene
SUPER_GRC2	11.508453	g17249	B_coprophila	male	soma_carcass	adult	B9	3.52462213545234	9.07083177145678	0	0	Active	Expressed	Gene
SUPER_GRC2	0.577165	g18467	B_coprophila	male	soma_carcass	adult	B9	-0.792941779597651	1.80095618132588	0.0358548933846067	0.0392848479902071	Active	Expressed	Gene
SUPER_GRC2	3.315345	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	1.72915944241498	6.04764771166692	7.34879490593698e-10	1.02165021567752e-09	Active	Expressed	Gene
SUPER_GRC2	6.714573	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	2.7472958720901	7.7619767460832	4.21884749357559e-15	6.87161907294284e-15	Active	Expressed	Gene
SUPER_GRC2	1.519453	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	0.603552999324555	4.15236162772661	1.64530862284407e-05	2.01169328513604e-05	Active	Expressed	Gene
SUPER_GRC2	0.837296	g18526	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody1	-0.25618863886873	2.70473632968903	0.00341793125266232	0.00388702122988873	Active	Expressed	Gene
SUPER_GRC2	1.212881	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	0.278439199019269	3.60493791209489	0.00015611378188396	0.00018534079762198	Active	Expressed	Gene
SUPER_GRC2	5.218536	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	2.38364540858138	7.14966534085152	4.34985381048136e-13	6.65874974971051e-13	Active	Expressed	Gene
SUPER_GRC2	1.632665	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	0.707229684085049	4.32693150431343	7.56004774049579e-06	9.335406482736e-06	Active	Expressed	Gene
SUPER_GRC2	0.67978	g18526	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody2	-0.556858056027559	2.19847184825713	0.0139577492815969	0.0155373639757106	Active	Expressed	Gene
SUPER_GRC2	10.245874	g14257	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	3.35697129097458	8.78854277564476	0	0	Active	Expressed	Gene
SUPER_GRC2	1.360716	g14637	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	0.444367048362365	3.88432574407521	5.13071284675704e-05	6.18144295775288e-05	Active	Expressed	Gene
SUPER_GRC2	1.21002	g17249	B_coprophila	female	soma_carcass	late-larva-early-pupa	Fbody3	0.27503208579157	3.59920104524724	0.00015959817580546	0.00018941855709266	Active	Expressed	Gene
SUPER_GRC2	0.957689	g13059	B_coprophila	female	germ_embryo	0-4h	FE1	-0.0623693573381544	3.03108750628291	0.00121837308194395	0.00140629825604287	Active	Expressed	Gene
SUPER_GRC2	12.311097	g13065	B_coprophila	female	germ_embryo	0-4h	FE1	3.62188753327452	9.23460638031133	0	0	Active	Expressed	Gene
SUPER_GRC2	14.859362	g14637	B_coprophila	female	germ_embryo	0-4h	FE1	3.89330036578145	9.69160888559273	0	0	Active	Expressed	Gene
SUPER_GRC2	1.002278	g17249	B_coprophila	female	germ_embryo	0-4h	FE1	0.00328416111642714	3.14163431476337	0.00084003864408144	0.00097457227012097	Active	Expressed	Gene
SUPER_GRC2	1.268344	g18444	B_coprophila	female	germ_embryo	0-4h	FE1	0.342947223466061	3.71355594798744	0.00010218362919678	0.00012200582984081	Active	Expressed	Gene
